Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Tony Gwynn*\gwynnto01,27,SDP,NL,157,680,589,119,218,36,13,7,54,56,12,82,35,0.37,0.447,0.511,0.958,158,301,13,3,2,4,26,*9/H
2,Wade Boggs*\boggswa01,29,BOS,AL,147,667,551,108,200,40,6,24,89,1,3,105,48,0.363,0.461,0.588,1.049,174,324,13,2,1,8,19,*5/3DH
3,Paul Molitor\molitpa01,30,MIL,AL,118,542,465,114,164,41,5,16,75,45,10,69,67,0.353,0.438,0.566,1.003,161,263,4,2,5,1,2,D54/H
4,Alan Trammell\trammal01,29,DET,AL,151,668,597,109,205,34,3,28,105,21,2,60,47,0.343,0.402,0.551,0.953,155,329,11,3,2,6,8,*6/H
5,Pedro Guerrero\guerrpe01,31,LAD,NL,152,630,545,89,184,25,2,27,89,9,7,74,85,0.338,0.416,0.539,0.955,154,294,16,4,0,7,18,*73/H
6,Kirby Puckett\puckeki01,27,MIN,AL,157,668,624,96,207,32,5,28,99,12,7,32,91,0.332,0.367,0.534,0.9,132,333,16,6,0,6,7,*8/DH
7,Tim Raines#\raineti01,27,MON,NL,139,627,530,123,175,34,8,18,68,50,5,90,52,0.33,0.429,0.526,0.955,149,279,9,4,0,3,26,*7
8,Don Mattingly*\mattido01,26,NYY,AL,141,630,569,93,186,38,2,30,115,1,4,51,38,0.327,0.378,0.559,0.937,146,318,16,1,0,8,13,*3/DH
9,Kevin Seitzer\seitzke01,25,KCR,AL,161,725,641,105,207,33,8,15,83,12,7,80,85,0.323,0.399,0.47,0.869,128,301,18,2,1,1,0,*53/7D
10,Tony Fernandez#\fernato01,25,TOR,AL,146,642,578,90,186,29,8,5,67,32,12,51,48,0.322,0.379,0.426,0.805,112,246,14,5,4,4,3,*6/H
11,Julio Franco\francju01,28,CLE,AL,128,560,495,86,158,24,3,8,52,32,9,57,56,0.319,0.389,0.428,0.818,117,212,23,3,0,5,2,*6/4DH
12,Larry Sheets*\sheetla01,27,BAL,AL,135,508,469,74,148,23,0,31,94,1,1,31,67,0.316,0.358,0.563,0.921,143,264,16,3,0,5,1,*79/DH3
13,John Kruk*\krukjo01,26,SDP,NL,138,527,447,72,140,14,2,20,91,18,10,73,93,0.313,0.406,0.488,0.894,140,218,6,0,3,4,15,37H
14,Dion James*\jamesdi01,24,ATL,NL,134,574,494,80,154,37,6,10,61,10,8,70,63,0.312,0.397,0.472,0.869,126,233,8,2,5,3,2,*87H
15,Robin Yount\yountro01,31,MIL,AL,158,723,635,99,198,25,9,21,103,19,9,76,94,0.312,0.384,0.479,0.862,125,304,9,1,6,5,10,*8/DH
16,Danny Tartabull\tartada01,24,KCR,AL,158,667,582,95,180,27,3,34,101,9,4,79,136,0.309,0.39,0.541,0.931,142,315,14,1,0,5,2,*9/DH
